,Open,High,Low,Close,Volume
2025-04-02,107.29000091552734,111.9800033569336,106.79000091552734,110.41999816894531,220601200.0
2025-04-03,103.51000213623047,105.62999725341797,101.5999984741211,101.80000305175781,338769400.0
2025-04-04,98.91000366210938,100.12999725341797,92.11000061035156,94.30999755859375,532273800.0
2025-04-07,87.45999908447266,101.75,86.62000274658203,97.63999938964844,611041300.0
2025-04-08,103.80999755859375,105.8499984741211,94.45999908447266,96.30000305175781,476243400.0
2025-04-09,98.88999938964844,115.0999984741211,97.52999877929688,114.33000183105469,612918300.0
2025-04-10,109.37000274658203,110.86000061035156,99.1500015258789,107.56999969482422,437812400.0
2025-04-11,108.5,111.55000305175781,107.4800033569336,110.93000030517578,313417300.0
2025-04-14,114.11000061035156,114.29000091552734,109.06999969482422,110.70999908447266,264705000.0
2025-04-15,110.97000122070312,113.62000274658203,110.5,112.19999694824219,228966900.0
2025-04-16,104.55000305175781,106.79000091552734,100.44999694824219,104.48999786376953,397016900.0
2025-04-17,104.44999694824219,104.47000122070312,100.05000305175781,101.48999786376953,290833400.0
2025-04-18,104.44999694824219,104.47000122070312,100.05000305175781,101.48999786376953,290833400.0
2025-04-21,98.7699966430664,99.44000244140625,95.04000091552734,96.91000366210938,288501100.0
2025-04-22,98.77999877929688,99.80999755859375,97.27999877929688,98.88999938964844,241004800.0
2025-04-23,104.5199966430664,104.80000305175781,102.0199966430664,102.70999908447266,247526000.0
2025-04-24,103.4800033569336,106.54000091552734,103.11000061035156,106.43000030517578,220815000.0
2025-04-25,106.8499984741211,111.91999816894531,105.7300033569336,111.01000213623047,251064700.0
2025-04-28,109.69000244140625,110.37000274658203,106.0199966430664,108.7300033569336,207708500.0
2025-04-29,107.66999816894531,110.19999694824219,107.44000244140625,109.0199966430664,170444300.0
2025-04-30,104.47000122070312,108.91999816894531,104.08000183105469,108.91999816894531,235044600.0
2025-05-01,113.08000183105469,114.94000244140625,111.30000305175781,111.61000061035156,236121500.0
2025-05-02,114.18000030517578,115.4000015258789,113.37000274658203,114.5,190194800.0
2025-05-05,112.91000366210938,114.66999816894531,112.66000366210938,113.81999969482422,133163200.0
2025-05-06,111.4800033569336,114.73999786376953,110.81999969482422,113.54000091552734,158525600.0
2025-05-07,113.05000305175781,117.68000030517578,112.27999877929688,117.05999755859375,207827800.0
2025-05-08,118.25,118.68000030517578,115.8499984741211,117.37000274658203,198428100.0
2025-05-09,118.25,118.68000030517578,115.8499984741211,117.37000274658203,198428100.0
